,Park_Name,Death Total,activities,deaths
11,Alibates Flint Quarries National Monument,0,"['Arts and Culture', 'Craft Demonstrations', 'Camping', 'Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",0
12,Allegheny Portage Railroad National Historic Site,0,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Hands-On', 'Hiking', 'Living History', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
13,American Memorial Park,0,"['Arts and Culture', 'Live Music', 'Theater', 'Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'First Person Interpretation', 'Surfing', 'Museum Exhibits']",0
14,Amistad National Recreation Area,10,"['Boating', 'Motorized Boating', 'Jet Skiing', 'Camping', 'Backcountry Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Junior Ranger Program', 'SCUBA Diving', 'Swimming', 'Freshwater Swimming', 'Water Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",1
15,Anacostia Park,0,"['Biking', 'Road Biking', 'Boating', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Paddling', 'Canoeing', 'Kayaking', 'Playground', 'Team Sports', 'Wildlife Watching']",0
16,Andersonville National Historic Site,0,"['Auto and ATV', 'Scenic Driving', 'Camping', 'Group Camping', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
17,Andrew Johnson National Historic Site,0,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits']",0
18,Aniakchak National Monument & Preserve,0,"['Camping', 'Backcountry Camping', 'Climbing', 'Mountain Climbing', 'Flying', 'Hiking', 'Backcountry Hiking', 'Paddling', 'Whitewater Rafting', 'Wildlife Watching', 'Birdwatching']",0
19,Antietam National Battlefield,0,"['Biking', 'Road Biking', 'Camping', 'Group Camping', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
20,Apostle Islands National Lakeshore,0,"['Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Group Camping', 'Fishing', 'Freshwater Fishing', 'Guided Tours', 'Boat Tour', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'SCUBA Diving', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
21,Appalachian National Scenic Trail,0,"['Astronomy', 'Stargazing', 'Camping', 'Backcountry Camping', 'Compass and GPS', 'Orienteering', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching']",0
22,Appomattox Court House National Historical Park,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Living History', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
23,Arches National Park,0,"['Arts and Culture', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'Canyoneering', 'Climbing', 'Rock Climbing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",0
24,Arkansas Post National Memorial,0,"['Arts and Culture', 'Cultural Demonstrations', 'Boating', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Living History', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
25,"Arlington House, The Robert E. Lee Memorial",0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Museum Exhibits']",0
26,Assateague Island National Seashore,0,"['Arts and Culture', 'Auto and ATV', 'Auto Off-Roading', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Compass and GPS', 'Geocaching', 'Fishing', 'Saltwater Fishing', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
27,Aztec Ruins National Monument,0,"['Arts and Culture', 'Cultural Demonstrations', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
28,Badlands National Park,0,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Compass and GPS', 'Food', 'Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
29,Baltimore-Washington Parkway,0,"['Auto and ATV', 'Scenic Driving']",0
30,Bandelier National Monument,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
31,Belmont-Paul Women's Equality National Monument,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
32,Bent's Old Fort National Historic Site,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Biking', 'Road Biking', 'Fishing', 'Freshwater Fishing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Tubing', 'Snow Tubing', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
33,Bering Land Bridge National Preserve,0,"['Camping', 'Backcountry Camping', 'Dog Sledding', 'Flying', 'Fixed Wing Flying', 'Hiking', 'Backcountry Hiking', 'Hunting and Gathering', 'Gathering and Foraging', 'Junior Ranger Program', 'Snowmobiling', 'Wildlife Watching', 'Birdwatching']",0
34,Big Bend National Park,16,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",1
35,Big Cypress National Preserve,0,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'ATV Off-Roading', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Food', 'Picnicking', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
36,Big Hole National Battlefield,0,"['Arts and Culture', 'Cultural Demonstrations', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
37,Big South Fork National River & Recreation Area,0,"['Arts and Culture', 'Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Horse Camping (see also Horse/Stock Use)', 'RV Camping', 'Climbing', 'Rock Climbing', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Junior Ranger Program', 'Tubing', 'Swimming', 'Pool Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
38,Big Thicket National Preserve,11,"['Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Fishing', 'Hands-On', 'Citizen Science', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",1
39,Bighorn Canyon National Recreation Area,0,"['Arts and Culture', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Sailing', 'Jet Skiing', 'Boat Tour', 'Camping', 'Compass and GPS', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Playground', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
40,Birmingham Civil Rights National Monument,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Museum Exhibits']",0
41,Biscayne National Park,14,"['Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Fishing', 'Guided Tours', 'Boat Tour', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",1
42,Black Canyon Of The Gunnison National Park,0,"['Camping', 'Climbing', 'Fishing', 'Hiking', 'Backcountry Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Kayaking', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching']",0
43,Blackstone River Valley National Historical Park,0,"['Biking', 'Camping', 'Canoe or Kayak Camping', 'Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",0
44,Blue Ridge Parkway,97,"['Arts and Culture', 'Live Music', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Camping', 'Car or Front Country Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Shopping', 'Bookstore and Park Store']",1
45,Bluestone National Scenic River,0,"['Biking', 'Mountain Biking', 'Boating', 'Fishing', 'Freshwater Fishing', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",0
46,Booker T Washington National Monument,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",0
47,Boston African American National Historic Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Museum Exhibits']",0
48,Boston Harbor Islands National Recreation Area,0,"['Arts and Culture', 'Live Music', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Fishing', 'Saltwater Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Hiking', 'Living History', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",0
49,Boston National Historical Park,0,"['Fishing', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits']",0
50,Brices Cross Roads National Battlefield Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto']",0
51,Brown v. Board of Education National Historic Site,0,"['Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
52,Bryce Canyon National Park,0,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Hiking', 'Backcountry Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
53,Buck Island Reef National Monument,0,"['Boating', 'Sailing', 'Hiking', 'Paddling', 'Kayaking', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching']",0
54,Buffalo National River,29,"['Camping', 'Backcountry Camping', 'Caving', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Paddling', 'Canoeing', 'Junior Ranger Program', 'Wildlife Watching']",1
55,Cabrillo National Monument,0,"['Biking', 'Road Biking', 'Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
56,California National Historic Trail,0,"['Auto and ATV', 'Scenic Driving', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Museum Exhibits']",0
57,Camp Nelson National Monument,0,"['Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Museum Exhibits']",0
58,Canaveral National Seashore,0,"['Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Group Camping', 'Fishing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Junior Ranger Program', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Gift Shop and Souvenirs']",0
59,Cane River Creole National Historical Park,0,"['Arts and Culture', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program']",0
60,Canyon de Chelly National Monument,0,"['Auto and ATV', 'Scenic Driving', 'Camping', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",0
61,Canyonlands National Park,16,"['Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'Climbing', 'Rock Climbing', 'Guided Tours', 'Boat Tour', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Canoe or Kayak Camping', 'Whitewater Rafting', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Bookstore and Park Store']",1
62,Cape Cod National Seashore,17,"['Auto and ATV', 'Auto Off-Roading', 'Biking', 'Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Saltwater Fishing', 'Golfing', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hiking', 'Front-Country Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",1
63,Cape Hatteras National Seashore,57,"['Auto and ATV', 'Auto Off-Roading', 'Astronomy', 'Stargazing', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Snorkeling', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",1
64,Cape Henry Memorial Part of Colonial National Historical Park,0,"['Guided Tours', 'Self-Guided Tours - Walking']",0
65,Cape Krusenstern National Monument,0,"['Camping', 'Backcountry Camping', 'Flying', 'Fixed Wing Flying', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Backcountry Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
66,Cape Lookout National Seashore,0,"['Auto and ATV', 'ATV Off-Roading', 'Auto Off-Roading', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Fishing', 'Saltwater Fishing', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Shopping', 'Bookstore and Park Store']",0
67,Capitol Hill Parks,0,"['Arts and Culture', 'Biking', 'Food', 'Picnicking', 'Flying', 'Guided Tours', 'Self-Guided Tours - Walking', 'Bus/Shuttle Guided Tour', 'Junior Ranger Program', 'Playground']",0
68,Capitol Reef National Park,0,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Canyoneering', 'Climbing', 'Rock Climbing', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hands-On', 'Citizen Science', 'Arts and Crafts', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
69,Captain John Smith Chesapeake National Historic Trail,0,"['Boating', 'Boat Tour', 'Compass and GPS', 'Geocaching', 'Fishing', 'Guided Tours', 'Living History', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Tubing', 'River Tubing', 'Swimming', 'Wildlife Watching', 'Birdwatching']",0
70,Capulin Volcano National Monument,0,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits']",0
71,Carl Sandburg Home National Historic Site,0,"['Arts and Culture', 'Theater', 'Guided Tours']",0
72,Carlsbad Caverns National Park,0,"['Astronomy', 'Stargazing', 'Camping', 'Caving', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
73,Carter G. Woodson Home National Historic Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
74,Casa Grande Ruins National Monument,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Food', 'Picnicking', 'Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
75,Castillo de San Marcos National Monument,0,"['Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film']",0
76,Castle Clinton National Monument,0,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",0
77,Castle Mountains National Monument,0,"['Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping']",0
78,Catoctin Mountain Park,0,"['Camping', 'Car or Front Country Camping', 'Group Camping', 'Climbing', 'Compass and GPS', 'Orienteering', 'Fishing', 'Fly Fishing', 'Food', 'Picnicking', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
79,Cedar Breaks National Monument,0,"['Arts and Culture', 'Astronomy', 'Stargazing', 'Camping', 'Food', 'Picnicking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
